<OOV> 1.0	OOV
پانڈہ 1.0	P AA N DD AA
پانی 1.0	P AA N II
پاور 1.0	P AA V A R
پاؤنڈ 1.0	P AA UU N DD
پاؤنڈر 1.0	P AA UU N DD R
پاے 1.0	P AA AY
پایا 1.0	P AA J AA
پائز 1.0	P AA I Z
پائے 1.0	P AA AY
پائی 1.0	P AA II
پآ 1.0	P A AA
پبلک 1.0	P A B L I K
پپپر 1.0	P A P P A R
پپلیس 1.0	P A P L II S
پتا 1.0	P A TD TD AA
پتہ 1.0	P A TD TD AA
پتھر 1.0	P A TDH TDH A R
پٹ 1.0	P A TT
پچاس 1.0	P A TSH AA S
پچپن 1.0	P A TSH P A N
پچھلے 1.0	P I TSHH L AE
پچھلی 1.0	P I TSHH L II
پچیانوے 1.0	P A TSH I J AA N V AY
پچیس 1.0	P A TSH TSH II S
پحنچ 1.0	P A H N TSH
پر 1.0	P A R
پرابلم 1.0	P A R AA B L A M
پراٹھے 1.0	P A R AA TTH AE
پراڈکٹ 1.0	P A R AA DD I K TT
پراک 1.0	P A R AA K
پرانا 1.0	P A R AA N AA
پرانے 1.0	P A R AA N AY
پرانی 1.0	P A R AA N II
پرائزوں 1.0	P A R AA I Z OON
پرائس 1.0	P A R AA I S
پرائسز 1.0	P A R AA I S I Z
پرائم 1.0	P A R AA I M
پرسن 1.0	P U R S A N
پرسنالی 1.0	P A R S N AA L II
پرسنڈ 1.0	P U R S A N DD
پرسنز 1.0	P U R S A N Z
پرسنل 1.0	P U R S I N A L
پرسنلی 1.0	P U R S I N A L II
پرسو 1.0	P U R S OO
پرسوں 1.0	P U R S OON
پرسیو 1.0	P A R S II OO
پرل 1.0	P A R A L
پرموشن 1.0	P A R M OO SH A N
پرمیشن 1.0	P I R M AY SH A N
پرنی 1.0	P A R N II
پرہوگی 1.0	P A R H OO G II
پرو 1.0	P A R OO
پروان 1.0	P A R V AA N
پرواہ 1.0	P A R V AA
پروائیڈ 1.0	P A R V AA II DD
پروبلم 1.0	P U R OO B A L M
پروبلیم 1.0	P U R OO B A L II M
پروپر 1.0	P A R OO P A R
پروٹوکول 1.0	P A R OO TT OO K OO L
پروڈکٹ 1.0	P A R OO DD I K TT
پروسیس 1.0	P U R OO S AY S
پروسیسنگ 1.0	P A R OO S AY S I NG
پروف 1.0	P U R UU F
پروموشن 1.0	P A R OO M OO SH A N
پروموشنز 1.0	P A R OO M OO SH A N Z
پرووایڈ 1.0	P U R UU V AE DD
پری 1.0	P A R II
پریٹیو 1.0	P A R AY TT II V
پریشان 1.0	P A R AY SH AA N
پریشانی 1.0	P A R AY SH AA N II
پریویس 1.0	P A R AY V AE S
پریویسلی 1.0	P A R AY V AY S L II
پڑا 1.0	P A RR AA
پڑتا 1.0	P A RR TD AA
پڑتی 1.0	P A RR TD II
پڑھ 1.0	P A RRH
پڑھا 1.0	P A RRH AA
پڑھے 1.0	P A RRH AE
پڑھی 1.0	P A RRH II
پڑے 1.0	P A RR AE
پڑیاں 1.0	P A RR I J AAN
پڑیگا 1.0	P A RR II G AA
پس 1.0	P I S
پسند 1.0	P A S A N DD
پسندیدہ 1.0	P A S A N DD II DD AA
پشاور 1.0	P U SH AA V A R
پک 1.0	P A K
پکڑ 1.0	P A K A RR
پکڑا 1.0	P A K RR AA
پکڑانا 1.0	P A K RR AA N AA
پکڑایا 1.0	P A K RR AA J AA
پکڑنا 1.0	P A K A RR N AA
پکل 1.0	P A K A L
پکلز 1.0	P A K A L Z
پل 1.0	P A L
پلاٹ 1.0	P A L AA TT
پلازا 1.0	P A L AA Z AA
پلز 1.0	P A L Z
پلس 1.0	P A L A S
پلن 1.0	P A L A N
پلوشہ 1.0	P A L OO SH AA
پلیز 1.0	P L II Z
پلیس 1.0	P A L AE S
پلیسڈ 1.0	P A L AY S DD
پلین 1.0	P A L II N
پن 1.0	P A N
پنتالیس 1.0	P I N TD AA L II S
پنجاب 1.0	P A N DZZ AA B
پنچ 1.0	P A N TSH
پندرہ 1.0	P A N DD A R AA
پندرھوی 1.0	P A N DD A R V II
پندہ 1.0	P A N DD AA
پنک 1.0	P I N K
پہ 1.0	P A H
پہلا 1.0	P E H L AA
پہلے 1.0	P E H L AE
پہلی 1.0	P E H L II
پہنچ 1.0	P A H U N TSH
پہنچا 1.0	P A H U N TSH AA
پہنچائےیں 1.0	P A H N TSH AA AY AYN
پہنچے 1.0	P A H A N TSH AY
پہنچی 1.0	P AEH H N TSH II
پھدو 1.0	PH A DD DD UU
پھر 1.0	PH I R
پھروں 1.0	PH I R OON
پھسا 1.0	PH U S AA
پھوڑ 1.0	PH UU RR
پھینک 1.0	PH AEN K
پوائنٹ 1.0	P U V AA I N TT
پوائنٹس 1.0	P U V AA I N TT S
پوٹ 1.0	P OO TT
پوٹلے 1.0	P OO TT L AY
پوٹیٹو 1.0	P OO TT AE TT I V
پوچھ 1.0	P UU TSHH
پوچھا 1.0	P UU TSHH AA
پوچھتا 1.0	P UU TSH TD AA
پوچھتے 1.0	P UU TSH TD AY
پوچھنا 1.0	P UU TSH N AA
پوچھنے 1.0	P UU TSHH N AE
پوچھو 1.0	P UU TSHH OO
پوچھے 1.0	P UU TSHH AE
پوچھی 1.0	P UU TSHH II
پوچھیں 1.0	P UU TSHH AEN
پورا 1.0	P UU R AA
پورٹ 1.0	P OO R TT
پورشن 1.0	P OO R SH A N
پورشنز 1.0	P OO R SH A N Z
پورے 1.0	P UU R AE
پوری 1.0	P UU R II
پوزیشن 1.0	P OO Z II SH A N
پوسٹ 1.0	P OO S TT
پوسیبل 1.0	P OO S II B L
پوسیبلیٹی 1.0	P OO S II B L II TT II
پولسی 1.0	P OO L S II
پولیس 1.0	P OO L II S
پولیسیسز 1.0	P OO L II S AE S I Z
پونا 1.0	P OO N AA
پونے 1.0	P O N AE
پوئن 1.0	P UU I N
پے 1.0	P AY
پےایبل 1.0	P A AY AY B A L
پےبرانچ 1.0	P A AY B A R AA N TSH
پی 1.0	P II
پیایبل 1.0	P AY AE B A L
پیبل 1.0	P AY B A L
پیپر 1.0	P II P A R
پیپسی 1.0	P AY P S II
پیپل 1.0	P AE P A L
پیتے 1.0	P II TD AY
پیتی 1.0	P II TD II
پیٹی 1.0	P II TT II
پیٹیز 1.0	P AE TT II Z
پیٹیوں 1.0	P II TT II OON
پیج 1.0	P AY DZZ
پیچھلے 1.0	P II TSHH L AE
پیچھلی 1.0	P II TSHH L II
پیچھے 1.0	P II TSHH AE
پیراگون 1.0	P AE R AA G OO N
پیز 1.0	P II Z
پیزا 1.0	P AY Z AA
پیزے 1.0	P AE Z AE
پیس 1.0	P AY S
پیسز 1.0	P AE S I Z
پیسے 1.0	P AY S AE
پیک 1.0	P AE K
پیکٹ 1.0	P AE K TT
پیکنگ 1.0	P AE K I NG
پیلس 1.0	P AE L A S
پیمانہ 1.0	P AE M AA N AA
پیمنٹ 1.0	P AY M N T
پیمننے 1.0	P AY M N N AY
پین 1.0	P II N
پینتالیس 1.0	P AEN TD AA L II S
پینتیس 1.0	P AEN TD II S
پینسٹ 1.0	P AE N S TT
پیوپل 1.0	P AE OO P A L
پیوپلز 1.0	P AE OO P A L Z
پیوں 1.0	P II OON
پیئے 1.0	P II AY
تا 1.0	TD AA
تابندہ 1.0	TD AA B I N DD AA
تاجدین 1.0	TD AA DZZ DD II N
تاریخ 1.0	TD AA R II X
تاشی 1.0	TD AA SH II
تاشین 1.0	TD AA SH II N
تافتان 1.0	TD AA F TD AA N
تاکہ 1.0	TD AA K AA
تب 1.0	TD A B
تبریز 1.0	TD A B R II Z
تبھی 1.0	TD A BH II
ترقیاتی 1.0	TD A R Q I J AA TD II
تسمیہ 1.0	TD A S M I J AA
تصویر 1.0	TD A S V II R
تصویریں 1.0	TD A S V II R AEN
تفصیل 1.0	TD A F S II L
تفصیلات 1.0	TD A F S II L AA TD
تقریبًا 1.0	TD A Q R II B A A N
تقریبا 1.0	TD A Q R II B A N
تقریباً 1.0	TD A Q R II B A N
تک 1.0	TD A K
تکلیف 1.0	TD A K L II F
تم 1.0	TD A M
تماچہ 1.0	TD A M AA TSH AA
تماشا 1.0	TD A M AA SH AA
تماشے 1.0	TD A M AA SH AY
تمام 1.0	TD A M AA M
تمہارا 1.0	TD U M H AA R AA
تمہارے 1.0	TD U M H AA R AE
تمہے 1.0	TD U M H AE
تمہیں 1.0	TD U M H AEN
تمھیں 1.0	TD U M M AYN
تمیز 1.0	TD A M II Z
تمیم 1.0	TD A M II M
تنزیلا 1.0	TD A N Z II L AA
تنزیلہ 1.0	TD A N Z II L AA
تنگ 1.0	TD A NG
تہ 1.0	TD AA
تہمور 1.0	TD AEH H M UU R
تہہ 1.0	TD AEH H
تھ 1.0	TDH
تھا 1.0	TDH AA
تھاوُزنڈ 1.0	TDH AA V A U Z A N DD
تھاؤزنڈ 1.0	TDH AA UU Z A N DD
تھاؤزینڈ 1.0	TDH AA UU Z AE N DD
تھائے 1.0	TDH AA AY
تھائی 1.0	TDH AA II
تھپڑ 1.0	TDH A P P A RR
تھرٹی 1.0	TDH I R TT II
تھرٹین 1.0	TDH R T II N
تھرڈ 1.0	TDH A R DD
تھرو 1.0	TDH A R UU
تھری 1.0	TDH R II
تھریون 1.0	TDH I R II V A N
تھک 1.0	TDH A K
تھکی 1.0	TDH A K K II
تھنک 1.0	TDH I N K
تھنگ 1.0	TDH A NG
تھنگس 1.0	TDH A NG G
تھورو 1.0	TDH UU R UU
تھوڑا 1.0	TDH OO RR AA
تھوڑے 1.0	TDH OO RR AE
تھوڑی 1.0	TDH OO RR II
تھے 1.0	TDH AE
تھی 1.0	TDH II
تھیلی 1.0	TDH AY L II
تھیں 1.0	TDH IIN
تھینک 1.0	TDH AY N K
تھینکس 1.0	TDH AY N K S
تو 1.0	TD OO
توکہا 1.0	TD A V A K A H AA
تویلو 1.0	TD A V II L OO
تے 1.0	TD AY
تیار 1.0	TD A J J AA R
تیرا 1.0	TD AE R AA
تیرہ 1.0	TD AE R AA
تیرے 1.0	TD AY R AE
تیس 1.0	TD II S
تیسرا 1.0	TD II S R AA
تیمور 1.0	TD II M UU R
تین 1.0	TD II N
تینو 1.0	TD II N OO
تینوں 1.0	TD II N OON
ٹِیسٹ 1.0	TT I E S TT
ٹاپنگ 1.0	TT AA P NG
ٹاٹا 1.0	TT AA TT AA
ٹاک 1.0	TT AA K
ٹاکنگ 1.0	TT AA K I NG
ٹال 1.0	TT AA L
ٹاور 1.0	TT AA V A R
ٹاؤن 1.0	TT AA UU N
ٹائم 1.0	TT AA I M
ٹائمز 1.0	TT AA I M Z
ٹائمنگ 1.0	TT AA I M I NG
ٹائمنگز 1.0	TT AA I M I NG Z
ٹپ 1.0	TT I P
ٹرانسفر 1.0	TT A R AA N S F A R
ٹرائے 1.0	TT A R AA AY
ٹرائی 1.0	TT A R AA II
ٹرپ 1.0	TT I R I P
ٹرپل 1.0	TT A R P I L
ٹرسٹ 1.0	TT A R A S TT
ٹرمز 1.0	TT A R A M Z
ٹرن 1.0	TT A R A N
ٹرے 1.0	TT A R R AY
ٹریپل 1.0	TT A R AE P A L
ٹریڈ 1.0	TT A R AE DD
ٹریڈنگ 1.0	TT A R AE DD I NG
ٹریک 1.0	TT A R AE K
ٹرین 1.0	TT A R AE N
ٹکی 1.0	TT A K II
ٹماٹو 1.0	TT I M AA TT OO
ٹھائے 1.0	TTH AA AY
ٹھنڈا 1.0	TTH A N DD AA
ٹھنڈے 1.0	TTH A N DD AY
ٹھنڈی 1.0	TTH A N DD II
ٹھہر 1.0	TTH A H A R
ٹھہرو 1.0	TTH E H R OO
ٹھیک 1.0	TTH AY K
ٹو 1.0	TT OO
ٹواے 1.0	TT U V AA AY
ٹوائز 1.0	T V AA A Z
ٹوائس 1.0	TT U V AA I S
ٹوائے 1.0	TT U V AA I AE
ٹوپ 1.0	TT OO P
ٹوپنگ 1.0	TT OO P I NG
ٹوٹ 1.0	TT UU TT
ٹوٹل 1.0	TT OO TT A L
ٹوٹلی 1.0	TT OO TT L II
ٹوٹوریل 1.0	TT OO TT OO R II L
ٹوماٹو 1.0	TT OO M AA TT OO
ٹومیٹوز 1.0	TT OO M AY TT OO Z
ٹونٹی 1.0	TT OO N TT II
ٹوویل 1.0	TT OO V II L
ٹوویلو 1.0	TT OO V AE L OO
ٹووینٹی 1.0	TT OO V AE N TT II
ٹویلو 1.0	TT U V AE L OO
ٹویلوے 1.0	TT U V AE L V AY
ٹوین 1.0	TT U V AE N
ٹوینٹی 1.0	TT U V AE N TT II
ٹی 1.0	TT II
ٹیبل 1.0	TT AY B A L
ٹیٹرا 1.0	TT AE TT R AA
ٹیٹوریل 1.0	TT AY TT OO R I J A L
ٹیسٹ 1.0	TT AE S TT
ٹیشو 1.0	TT AE SH UU
ٹیک 1.0	TT AE K
ٹیکر 1.0	TT AE K A R
ٹیکرس 1.0	TT AE K A R A S
ٹیکس 1.0	TT AE K S
ٹیکنگ 1.0	TT AE K I NG
ٹیکنیکل 1.0	TT AE K N II K A L
ٹیل 1.0	TT AY L
ٹیلنگ 1.0	یو T J L N G J OO
ٹیم 1.0	TT II M
ٹین 1.0	TT II N
ٹینٹ 1.0	TT AE N TT
ثاقب 1.0	S AA Q I B
ثمرا 1.0	S A M R AA
ثنا 1.0	S A N AA
ثناء 1.0	S A N AA
جا 1.0	DZZ AA
جاتا 1.0	DZZ AA TD AA
جاتے 1.0	DZZ AA TD AY
جاتی 1.0	DZZ AA TD II
جاری 1.0	DZZ AA R II
جاز 1.0	DZZ AA Z
جاسکی 1.0	DZZ AA S K II
جاکر 1.0	DZZ AA K A R
جامع 1.0	DZZ AA M AY
جان 1.0	DZZ AA N
جانا 1.0	DZZ AA N AA
جانب 1.0	DZZ AA N I B
جاننا 1.0	DZZ AA N N AA
جانے 1.0	DZZ AA N AY
جانیب 1.0	DZZ AA N II B
جاہ 1.0	DZZ AA AA
جاوید 1.0	DZZ AA V AE DD
جاؤ 1.0	DZZ AA OO
جاؤں 1.0	DZZ AA UUN
جاے 1.0	DZZ AA AY
جاینگے 1.0	DZZ AA II NG G AE
جائے 1.0	DZZ AA AY
جائیں 1.0	DZZ AA AEN
جائینگی 1.0	DZZ AA II NG G II
جائیے 1.0	DZZ AA II AY
جآر 1.0	DZZ A AA R
جب 1.0	DZZ A B
جبران 1.0	DZZ A B R AA N
جتنا 1.0	DZZ I TD N AA
جتنے 1.0	DZZ I TD N AY
جدون 1.0	DZZ A DD UU N
جرنل 1.0	DZZ A R N A L
جس 1.0	DZZ I S
جسٹ 1.0	DZZ A S TT
جسے 1.0	DZZ A S AY
جسی 1.0	DZZ I S II
جکدیش 1.0	DZZ A K DD AY SH
جگ 1.0	DZZ A G
جگہ 1.0	DZZ A G AA
جلال 1.0	DZZ A L AA L
جلد 1.0	DZZ I L DD
جلدی 1.0	DZZ A L DD II
جمال 1.0	DZZ A M AA L
جمبو 1.0	DZZ A M B UU
جمپنگ 1.0	DZZ A M P I NG
جن 1.0	DZZ A N
جناب 1.0	DZZ A N AA B
جناح 1.0	DZZ A N AA
جنہوں 1.0	DZZ I N H OON
جنیجو 1.0	DZZ I N AE DZZ OO
جنید 1.0	DZZ A N II DD
جہاں 1.0	DZZ A H AAN
جھگڑا 1.0	DZZH A G RR AA
جھوٹ 1.0	DZZH UU TT
جو 1.0	DZZ OO
جواب 1.0	DZZ A V AA B
جواد 1.0	DZZ A V AA DD
جوس 1.0	DZZ UU S
جوسز 1.0	DZZ O S I Z
جوسی 1.0	DZZ UU S II
جون 1.0	DZZ UU N
جونسی 1.0	DZZ O N S II
جونئیر 1.0	DZZ UU N I J A R
جوہر 1.0	DZZ O H A R
جے 1.0	DZZ AY
جی 1.0	DZZ II
جیزمین 1.0	DZZ AY Z M AE N
جیسا 1.0	DZZ AY S AA
جیسے 1.0	DZZ AY S AE
جیل 1.0	DZZ AY L
جینہ 1.0	DZZ II N AA
جینیولی 1.0	DZZ II N J UU L II
جیئے 1.0	DZZ II AY
جیۓ 1.0	DZZ II
جئے 1.0	DZZ A AE
جئیے 1.0	DZZ A II AY
چا 1.0	TSH AA
چاپ 1.0	TSH AA P
چار 1.0	TSH AA R
چارج 1.0	TSH AA R DZZ
چارجز 1.0	TSH AA R DZZ I Z
چاروں 1.0	TSH AA R OON
چاشتی 1.0	TSH AA SH TD II
چاکلیٹ 1.0	TSH AA K L AY TT
چاکن 1.0	TSH AA K A N
چال 1.0	TSH AA L
چالیس 1.0	TSH AA L II S
چالیں 1.0	TSH AA L AYN
چاہ 1.0	TSH AA
چاہتا 1.0	TSH AA H TD AA
چاہتے 1.0	TSH AA H TD AE
چاہتی 1.0	TSH AA H TD II
چاہتیں 1.0	TSH AA H A TD AYN
چاہوں 1.0	TSH AA H OON
چاہونگا 1.0	TSH AA H OO NG G AA
چاہے 1.0	TSH AA H AY
چاہیں 1.0	TSH AA H AYN
چاہیںگے 1.0	TSH AA H IIN G AE
چاہیے 1.0	TSH AA H I J AE
چاہیئں 1.0	TSH AA H II
چاہیۓ 1.0	TSH AA H II
چاہئے 1.0	TSH AA H II AE
چاہئیے 1.0	TSH AA H I J AY
چاھیںگی 1.0	TSH AA AYN G II
چاھینگی 1.0	TSH AA II NG G II
چائے 1.0	TSH AA AE
چآ 1.0	TSH AA
چپ 1.0	TSH A P
چپس 1.0	TSH A P S
چپلی 1.0	TSH A P L II
چپوٹلے 1.0	TSH A P OO TT L AY
چدائی 1.0	TSH A DD AA II
چرچ 1.0	TSH A R TSH
چک 1.0	TSH A K
چکا 1.0	TSH U K AA
چکر 1.0	TSH A K K A R
چکروں 1.0	TSH A K R OON
چکن 1.0	TSH I K K A N
چکے 1.0	TSH A K AY
چکی 1.0	TSH A K II
چل 1.0	TSH A L
چلا 1.0	TSH A L L AA
چلتا 1.0	TSH A L TD AA
چلو 1.0	TSH A L OO
چلے 1.0	TSH A L AE
چلی 1.0	TSH A L L II
چلیں 1.0	TSH A L AEN
چند 1.0	TSH A N DD
چھا 1.0	TSHH AA
چھبیس 1.0	TSHH A B B II S
چھت 1.0	TSH A TD
چھڑک 1.0	TSHH I RR A K
چھوٹ 1.0	TSH UU TT
چھوٹا 1.0	TSH UU TT AA
چھوٹے 1.0	TSHH OO TT AE
چھوٹی 1.0	TSH UU TT II
چھوڑ 1.0	TSH OO RR
چھے 1.0	TSHH AE
چھی 1.0	TSHH II
چوائس 1.0	TSH U V AA I S
چوبیس 1.0	TSH O B II S
چوتھا 1.0	TSH O TDH AA
چوتھی 1.0	TSH OO TDH II
چود 1.0	TSH UU DD
چودائی 1.0	TSH O DD AA II
چودھری 1.0	TSH O DDH R II
چودو 1.0	TSH O DD OO
چودوں 1.0	TSH O DD OON
چوڑا 1.0	TSH O RR AA
چوک 1.0	TSH O K
چوکا 1.0	TSH UU K AA
چوکلیٹ 1.0	TSH O K L AY TT
چوکلیٹس 1.0	TSH O K L AY TT S
چوکو 1.0	TSH O K OO
چول 1.0	TSH O L
چولہوں 1.0	TSH UU L H OON
چوہدری 1.0	TSH O H DD R II
چے 1.0	TSH AE
چیپوٹلے 1.0	TSH AE P OO TT L AY
چیج 1.0	TSH AE DZZ
چیز 1.0	TSH II Z
چیزوں 1.0	TSH II Z OON
چیزے 1.0	TSH II Z AE
چیزی 1.0	TSH II Z II
چیزیں 1.0	TSH II Z AEN
چیس 1.0	TSH AE S
چیسٹ 1.0	TSH E S TT
چیسی 1.0	TSH AE S II
چیک 1.0	TSH E K
چین 1.0	TSH II N
چینج 1.0	TSH AE N DZZ
حا 1.0	H AA
حارث 1.0	H AA R I S
حاصل 1.0	H AA S I L
حاضر 1.0	H AA Z I R
حافظ 1.0	H AA F Z
حال 1.0	H AA L
حالانکے 1.0	H AA L AAN K AY
حالت 1.0	H AA L A TD
حالی 1.0	H AA L II
حامد 1.0	H AA M I DD
حائقہ 1.0	H AA I Q AA
حبیب 1.0	H A B II B
حد 1.0	H A DD
حدیقہ 1.0	H A DD II Q AA
حرکت 1.0	H A R K A TD
حرکتے 1.0	H A R K A TD AY
حریم 1.0	H A R II M
حساب 1.0	H I S AA B
حسام 1.0	H A S AA M
حسان 1.0	H A S AA N
حسن 1.0	H A S A N
حسیب 1.0	H A S II B
حسین 1.0	H A S II N
حضرت 1.0	H A Z R A TD
حفصہ 1.0	H I F S S AA
حکم 1.0	H U K M
حل 1.0	H A L
حماد 1.0	H A M M AA DD
حمزہ 1.0	H A M Z AA
حمیداللہ 1.0	H A M II DD U L L AA
حنا 1.0	H A N N AA
حوالے 1.0	H A V AA L AY
حیا 1.0	H A J AA
حیدر 1.0	H AY DD A R
حیدرآباد 1.0	H AE DD R AY AA B AA DD
خاِن 1.0	X AA I A N
خاتون 1.0	X AA TD UU N
خالد 1.0	X AA L I DD
خالی 1.0	X AA L II
خامہ 1.0	X AA M AA
خاموشی 1.0	X AA M OO SH II
خان 1.0	X AA N
خانزادہ 1.0	X AA N Z AA DD AA
خبری 1.0	X A B R II
ختم 1.0	X A TD M
خدا 1.0	X U DD AA
خدمت 1.0	X I DD M A TD
خدیجہ 1.0	X U DD II DZZ AA
خرّم 1.0	X U R J U M
خراب 1.0	X A R AA B
خرم 1.0	X U R M
خلاف 1.0	X I L AA F
خوا 1.0	X AA
خواں 1.0	X A V AAN
خواہ 1.0	X AA
خود 1.0	X U DD
خوش 1.0	X U SH
خیابان 1.0	X A J AA B AA N
خیابانِ 1.0	X A J AA B AAN I
خیال 1.0	X A J AA L
خیبر 1.0	X AE B A R
خیر 1.0	X AY R
خیرالورا 1.0	X AY R U L UU R AA
خیرالورہ 1.0	X AY R U L UU R AA
خیریت 1.0	X AE R I J A TD
دِس 1.0	DD I S
دا 1.0	DD AA
دارلصحت 1.0	DD AA R U L S AE H H A TD
دال 1.0	DD AA L
دانش 1.0	DD AA N I SH
دانیال 1.0	DD AA N I J AA L
داوے 1.0	DD AA V AY
دائم 1.0	DD AA I M
دبارہ 1.0	DD A B AA R AA
دٹیلس 1.0	DD TT II L A S
دجیئے 1.0	DD DZ II AE
دخلیں 1.0	DD A X L AEN
دراصل 1.0	DD A R A S L
درکار 1.0	DD A R K AA R
درنگ 1.0	DD R I NG
دس 1.0	DD A S
دسمبر 1.0	DD A S A M B A R
دعا 1.0	DD U AA
دفتر 1.0	DD A F TD A R
دفتری 1.0	DD A F TD A R II
دفعہ 1.0	DD A F AA
دفہ 1.0	DD I F AA
دکان 1.0	DD U K AA N
دکھ 1.0	DD U KH
دکھا 1.0	DD U KH AA
دکھائی 1.0	DD I KH AA II
دکھنے 1.0	DD U KH N AE
دکھے 1.0	DD U KH AE
دل 1.0	DD I L
دم 1.0	DD A M
دماغ 1.0	DD I M AA 7
دن 1.0	DD A N
دنوں 1.0	DD I N OON
دنیا 1.0	DD U N J AA
دہ 1.0	DD AA
دھڑلے 1.0	DDH A RR A L L AE
دو 1.0	DD OO
دوبارہ 1.0	DD OO B AA R AA
دوپہر 1.0	DD O P AEH H R
دودھ 1.0	DD UU DDH
دودو 1.0	DD UU DD OO
دور 1.0	DD UU R
دوست 1.0	DD OO S TD
دوسرا 1.0	DD UU S R AA
دوسرے 1.0	DD UU S R AE
دوسری 1.0	DD UU S R II
دوں 1.0	DD OON
دونگا 1.0	DD OO NG G AA
دونگی 1.0	DD OO NG II
دونوں 1.0	DD OO N OON
دے 1.0	DD AY
دی 1.0	DD II
دیا 1.0	DD I J AA
دیتا 1.0	DD AE TD AA
دیتے 1.0	DD AE TD AE
دیتی 1.0	DD AE TD II
دیٹ 1.0	DD AE TT
دیٹس 1.0	DD AE TT S
دیجے 1.0	DD II DZZ AE
دیجیگا 1.0	DD II DZ II G AA
دیجیے 1.0	DD II DZZ II AY
دیجیئے 1.0	DD II DZ II AE
دیجیۓ 1.0	DD II DZZ II
دیجئے 1.0	DD II DZZ I AE
دیجئیے 1.0	DD II DZZ I J AY
دیدو 1.0	DD II DD OO
دیدیں 1.0	DD II DD AYN
دیدئیے 1.0	DD II DD A II AY
دیر 1.0	DD II R
دیزرٹس 1.0	DD AY Z A R TT S
دیش 1.0	DD AY SH
دیفرنٹ 1.0	DD AY F R A N TT
دیکر 1.0	DD II K A R
دیکھ 1.0	DD AE KH
دیکھا 1.0	DD AE KH AA
دیکھتا 1.0	DD AY KH TD AA
دیکھتی 1.0	DD AY KH TD II
دیکھنا 1.0	DD AY KH N AA
دیکھو 1.0	DD AE KH OO
دیکھے 1.0	DD AE KH AE
دیکھی 1.0	DD AE KH II
دیکھیں 1.0	DD AE KH AEN
دیکھیے 1.0	DD AE KH II AE
دیگا 1.0	DD II G AA
دیں 1.0	DD AEN
دیںا 1.0	DD AE
دین 1.0	DD II N
دینا 1.0	DD AE N AA
دینگے 1.0	DD AE NG G AY
دینگی 1.0	DD AE NG G II
دینے 1.0	DD AE N AE
دینی 1.0	DD II N II
دیوار 1.0	DD II V AA R
دیے 1.0	DD II AE
دیئر 1.0	DD AY A R
دئیے 1.0	DD A II AY
ڈاکٹر 1.0	DD AA K TT A R
ڈال 1.0	DD AA L
ڈالا 1.0	DD AA L AA
ڈالتا 1.0	DD AA L TD AA
ڈالتے 1.0	DD AA L TD AY
ڈالنا 1.0	DD AA L N AA
ڈالنی 1.0	DD AA L N II
ڈالوں 1.0	DD AA L OON
ڈالے 1.0	DD AA L AY
ڈالی 1.0	DD AA L II
ڈالیں 1.0	DD AA L AEN
ڈالیے 1.0	DD AA L II AY
ڈانٹ 1.0	DD AA N TT
ڈاؤن 1.0	DD AA UU N
ڈائریکٹ 1.0	DD AA I R AE K TT
ڈائریکٹلی 1.0	DD AA I R AE K TT L II
ڈائل 1.0	DD AA I L
ڈائن 1.0	DD AA I N
ڈائننگ 1.0	DD AA I N NG
ڈائیٹ 1.0	DD AA II TT
ڈائیں 1.0	DD AA AYN
ڈبل 1.0	DD A B A L
ڈبلیو 1.0	DD A B L I J UU
ڈپ 1.0	DD I P
ڈپس 1.0	DD I P S
ڈٹیلس 1.0	DD I TT II L A S
ڈجٹس 1.0	DD DZZ A TT S
ڈراپ 1.0	DD I R AA P
ڈرامہ 1.0	DD A R AA M AA
ڈرائیو 1.0	DD A R AA II V
ڈرائیور 1.0	DD A R AA II V A R
ڈرائیونگ 1.0	DD A R AA II V I NG
ڈرنک 1.0	D R N K
ڈرنکس 1.0	D R N K S
ڈروپ 1.0	DD A R OO P
ڈزنٹ 1.0	DD I Z N TT
ڈس 1.0	DD I S
ڈسپوزبل 1.0	DD I S P OO Z B L
ڈسپیچ 1.0	DD I S P AE TSH
ڈسپیچڈ 1.0	DD I S P AE TSH DD
ڈسپینسر 1.0	DD I S P AE N S A R
ڈسٹرب 1.0	DD I S TT A R A B
ڈسٹورشن 1.0	DD I S TT OO R SH A N
ڈسٹینس 1.0	DD I S TT AE N S
ڈسکاؤنٹ 1.0	DD I S K AA UU N TT
ڈسکاؤنٹڈ 1.0	DD I S K AA UU N TT DD
ڈسکس 1.0	DD I S K A S
ڈسکنیکٹ 1.0	DD I S K A N AE K TT
ڈسن 1.0	DD A S A N
ڈفرنٹ 1.0	DD F A R A N TT
ڈفرنس 1.0	DD F R A N S
ڈلیور 1.0	DD I L AY V A R
ڈن 1.0	DD A N
ڈھابے 1.0	DDH AA B AE
ڈھاکہ 1.0	DDH AA K AA
ڈھائی 1.0	DDH AA II
ڈھونڈنے 1.0	DDH UU N DD N AY
ڈھیر 1.0	DDH AE R
ڈو 1.0	DD OO
ڈواپ 1.0	DD A V AA P
ڈور 1.0	DD OO R
ڈونٹ 1.0	D OO N T
ڈویجن 1.0	DD A V II DZZ A N
ڈوئنگ 1.0	DD OO I NG
ڈے 1.0	DD AE
ڈی 1.0	DD II
ڈیبٹ 1.0	DD AY B TT
ڈیپارٹ 1.0	DD II P AA R TT
ڈیپارٹمنٹ 1.0	DD II P AA R TT M I N TT
